budget,genres,id,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,status,title,vote_average,vote_count
0,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",277519,cn,0.542814,"[{""name"": ""Pegasus Motion Pictures"", ""id"": 6950}]","[{""iso_3166_1"": ""CN"", ""name"": ""China""}, {""iso_3166_1"": ""HK"", ""name"": ""Hong Kong""}]",6/19/2014,0,92,Released,Z Storm,5.8,5
12716953,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]",10622,cn,7.077505,"[{""name"": ""Golden Harvest Company"", ""id"": 2521}]","[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}, {""iso_3166_1"": ""HK"", ""name"": ""Hong Kong""}]",1/31/1997,18814720,113,Released,Mr. Nice Guy,6.3,128
4500000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",13807,cn,8.48639,"[{""name"": ""Media Asia Films"", ""id"": 5552}, {""name"": ""Milky Way Image Company"", ""id"": 5632}]","[{""iso_3166_1"": ""HK"", ""name"": ""Hong Kong""}]",09/06/2006,0,110,Released,Exiled,7,46
0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]",12207,cn,15.046612,"[{""name"": ""Paragon Films Ltd."", ""id"": 3055}, {""name"": ""Golden Harvest Company Ltd."", ""id"": 6379}]","[{""iso_3166_1"": ""HK"", ""name"": ""Hong Kong""}]",02/03/1994,0,102,Released,The Legend of Drunken Master,7.2,242
0,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",357837,cs,0.186234,[],"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",10/16/2015,0,89,Post Production,Dancin' It's On,4.3,2
0,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",12555,cs,2.387463,[],"[{""iso_3166_1"": ""CZ"", ""name"": ""Czech Republic""}, {""iso_3166_1"": ""SK"", ""name"": ""Slovakia""}]",12/19/2006,0,120,Released,I Served the King of England,7,22
14200000,"[{""id"": 18, ""name"": ""Drama""}]",1951,da,7.05145,"[{""name"": ""Zentropa Entertainments"", ""id"": 76}, {""name"": ""Danmarks Radio (DR)"", ""id"": 119}, {""name"": ""Arte"", ""id"": 201}, {""name"": ""Memfis Film"", ""id"": 321}, {""name"": ""Isabella Films BV"", ""id"": 814}, {""name"": ""Degeto Film"", ""id"": 986}, {""name"": ""Ognon Pictures"", ""id"": 1711}, {""name"": ""Sveriges Television (SVT)"", ""id"": 3221}, {""name"": ""Canal+"", ""id"": 5358}, {""name"": ""Yleisradio (YLE)"", ""id"": 5975}, {""name"": ""Arte France Cin\u00e9ma"", ""id"": 6916}, {""name"": ""Westdeutscher Rundfunk (WDR)"", ""id"": 7025}, {""name"": ""Alan Young Pictures"", ""id"": 11499}, {""name"": ""Nederlandse Programma Stichting (NPS)"", ""id"": 12023}, {""name"": ""Canal+ Television AB"", ""id"": 12927}, {""name"": ""Film i V\u00e4st"", ""id"": 17513}, {""name"": ""Invicta Capital"", ""id"": 23207}, {""name"": ""Edith Film Oy"", ""id"": 25491}, {""name"": ""Pain Unlimited GmbH Filmproduktion"", ""id"": 30268}, {""name"": ""Sigma Films"", ""id"": 53874}, {""name"": ""Manderlay"", ""id"": 55428}]","[{""iso_3166_1"": ""DK"", ""name"": ""Denmark""}, {""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""IT"", ""name"": ""Italy""}, {""iso_3166_1"": ""NL"", ""name"": ""Netherlands""}, {""iso_3166_1"": ""SE"", ""name"": ""Sweden""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",5/16/2005,674918,139,Released,Manderlay,6.9,78
7400000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}]",62215,da,36.173598,"[{""name"": ""Zentropa Entertainments"", ""id"": 76}, {""name"": ""Det Danske Filminstitut"", ""id"": 118}, {""name"": ""Danmarks Radio (DR)"", ""id"": 119}, {""name"": ""Memfis Film"", ""id"": 321}, {""name"": ""Eurimages"", ""id"": 850}, {""name"": ""Sveriges Television (SVT)"", ""id"": 3221}, {""name"": ""Canal+"", ""id"": 5358}, {""name"": ""Cin\u00e9Cin\u00e9ma"", ""id"": 6301}, {""name"": ""Slot Machine"", ""id"": 7777}, {""name"": ""Zentropa International Sweden"", ""id"": 8288}, {""name"": ""Zentropa International K\u00f6ln"", ""id"": 8289}, {""name"": ""Liberator Productions"", ""id"": 11239}, {""name"": ""Swedish Film Institute"", ""id"": 14804}, {""name"": ""Centre National du Cin\u00e9ma et de L'image Anim\u00e9e (CNC)"", ""id"": 17298}, {""name"": ""Film i V\u00e4st"", ""id"": 17513}, {""name"": ""Filmstiftung Nordrhein-Westfalen"", ""id"": 27897}, {""name"": ""Legion Entertainment"", ""id"": 38069}, {""name"": ""Edition Video"", ""id"": 38071}, {""name"": ""Nordisk Film Distribution"", ""id"": 38072}]","[{""iso_3166_1"": ""DK"", ""name"": ""Denmark""}, {""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""SE"", ""name"": ""Sweden""}]",5/26/2011,21817298,136,Released,Melancholia,7,885
6500000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]",8883,da,7.028946,"[{""name"": ""Det Danske Filminstitut"", ""id"": 118}, {""name"": ""W\u00fcste Filmproduktion"", ""id"": 204}, {""name"": ""Studio Babelsberg"", ""id"": 264}, {""name"": ""TV2 Danmark"", ""id"": 758}, {""name"": ""Sveriges Television (SVT)"", ""id"": 3221}, {""name"": ""Canal+"", ""id"": 5358}, {""name"": ""Yleisradio (YLE)"", ""id"": 5975}, {""name"": ""Match Factory, The"", ""id"": 7306}, {""name"": ""Medienboard Berlin-Brandenburg"", ""id"": 7307}, {""name"": ""Sirena Film"", ""id"": 9111}, {""name"": ""Fonds Eurimages du Conseil de l'Europe"", ""id"": 11011}, {""name"": ""Deutsche Filmf\u00f6rderfonds (DFFF)"", ""id"": 11238}, {""name"": ""Nimbus Film Productions"", ""id"": 11672}, {""name"": ""W\u00fcste Film Ost"", ""id"": 11673}, {""name"": ""OC Film"", ""id"": 11674}, {""name"": ""Duckling A/S"", ""id"": 11675}, {""name"": ""Mainstream"", ""id"": 11676}, {""name"": ""Kameraudlejningen"", ""id"": 11677}, {""name"": ""4\u00bd"", ""id"": 11678}, {""name"": ""Nordic Film och TV Fund"", ""id"": 11679}, {""name"": ""Filmf\u00f6rderung Hamburg Schleswig-Holstein"", ""id"": 11680}, {""name"": ""Sandrew Metronome Denmark"", ""id"": 11681}, {""name"": ""TV2 Norge"", ""id"": 11682}, {""name"": ""NFP Marketing & Distribution"", ""id"": 11683}, {""name"": ""Substanz Film"", ""id"": 11685}]","[{""iso_3166_1"": ""CZ"", ""name"": ""Czech Republic""}, {""iso_3166_1"": ""DK"", ""name"": ""Denmark""}, {""iso_3166_1"": ""FI"", ""name"": ""Finland""}, {""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""NO"", ""name"": ""Norway""}, {""iso_3166_1"": ""SE"", ""name"": ""Sweden""}]",3/25/2008,0,130,Released,Flame & Citron,6.8,68
3800000,"[{""id"": 18, ""name"": ""Drama""}]",103663,da,21.826888,"[{""name"": ""Zentropa Entertainments"", ""id"": 76}, {""name"": ""Det Danske Filminstitut"", ""id"": 118}, {""name"": ""Danmarks Radio (DR)"", ""id"": 119}, {""name"": ""Eurimages"", ""id"": 850}, {""name"": ""MEDIA Programme of the European Union"", ""id"": 851}, {""name"": ""Sveriges Television (SVT)"", ""id"": 3221}, {""name"": ""Svenska Filminstitutet (SFI)"", ""id"": 7446}, {""name"": ""Nordisk Film- & TV-Fond"", ""id"": 8555}, {""name"": ""Film V\u00e4st"", ""id"": 74636}]","[{""iso_3166_1"": ""DK"", ""name"": ""Denmark""}, {""iso_3166_1"": ""SE"", ""name"": ""Sweden""}]",8/28/2012,16800000,115,Released,The Hunt,7.9,927
1300000,"[{""id"": 18, ""name"": ""Drama""}]",309,da,10.240917,"[{""name"": ""Nordic Film"", ""id"": 156}, {""name"": ""Sveriges Television (SVT)"", ""id"": 3221}, {""name"": ""Nimbus Film Productions"", ""id"": 11672}]","[{""iso_3166_1"": ""DK"", ""name"": ""Denmark""}, {""iso_3166_1"": ""SE"", ""name"": ""Sweden""}]",5/20/1998,0,105,Released,The Celebration,7.7,207
35000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",9029,da,38.100488,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Mosaic Media Group"", ""id"": 748}, {""name"": ""21 Laps Entertainment"", ""id"": 2575}, {""name"": ""Penn Station Entertainment"", ""id"": 4916}, {""name"": ""Dune Entertainment III"", ""id"": 6332}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",05/07/2008,170000000,99,Released,What Happens in Vegas,5.8,923
0,"[{""id"": 18, ""name"": ""Drama""}]",48035,da,3.225189,"[{""name"": ""Palladium Film"", ""id"": 9079}]","[{""iso_3166_1"": ""DK"", ""name"": ""Denmark""}]",01/09/1955,0,126,Released,Ordet,7.8,65
0,"[{""id"": 27, ""name"": ""Horror""}]",53953,de,0.716764,[],[],08/08/2006,0,0,Released,The Tooth Fairy,4.3,13
36000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",75531,de,1.068453,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Mutual Film Company"", ""id"": 762}, {""name"": ""Toho Company"", ""id"": 882}, {""name"": ""British Broadcasting Corporation (BBC)"", ""id"": 3324}, {""name"": ""Marubeni"", ""id"": 4650}, {""name"": ""Tele M\u00fcnchen Fernseh Produktionsgesellschaft (TMG)"", ""id"": 7237}, {""name"": ""Lobell/Bergman Productions"", ""id"": 10513}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1/28/2000,3003296,95,Released,Isn't She Great,4.6,14
0,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]",50135,de,8.010046,"[{""name"": ""Constantin Film Produktion"", ""id"": 5755}, {""name"": ""Ambient Entertainment GmbH"", ""id"": 8104}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",10/07/2010,0,93,Released,Animals United,5.5,90
27000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 53, ""name"": ""Thriller""}]",6968,de,7.727035,"[{""name"": ""Nouvelles \u00c9ditions de Films (NEF)"", ""id"": 753}, {""name"": ""Degeto Film"", ""id"": 986}, {""name"": ""Constantin Film Produktion"", ""id"": 5755}, {""name"": ""Westdeutscher Rundfunk (WDR)"", ""id"": 7025}, {""name"": ""Norddeutscher Rundfunk (NDR)"", ""id"": 7201}, {""name"": ""Bayerischer Rundfunk (BR)"", ""id"": 7333}, {""name"": ""Dune Films"", ""id"": 19477}, {""name"": ""G.T. Film Production"", ""id"": 73872}]","[{""iso_3166_1"": ""CZ"", ""name"": ""Czech Republic""}, {""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",9/24/2008,0,150,Released,The Baader Meinhof Complex,7.1,157
15238800,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",37903,de,17.94739,"[{""name"": ""Les Films du Losange"", ""id"": 223}, {""name"": ""Wega Film"", ""id"": 224}, {""name"": ""Lucky Red"", ""id"": 779}, {""name"": ""X-Filme Creative Pool"", ""id"": 1972}]","[{""iso_3166_1"": ""AT"", ""name"": ""Austria""}, {""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""IT"", ""name"": ""Italy""}]",5/21/2009,0,144,Released,The White Ribbon,7.2,255
92620000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}]",19,de,32.351527,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Universum Film (UFA)"", ""id"": 12372}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",01/10/1927,650422,153,Released,Metropolis,8,657
18339750,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]",613,de,32.445895,"[{""name"": ""Degeto Film"", ""id"": 986}, {""name"": ""EOS Entertainment"", ""id"": 2278}, {""name"": ""Rai Cinema"", ""id"": 2683}, {""name"": ""\u00d6sterreichischer Rundfunk (ORF)"", ""id"": 3391}, {""name"": ""Constantin Film Produktion"", ""id"": 5755}, {""name"": ""Westdeutscher Rundfunk (WDR)"", ""id"": 7025}, {""name"": ""Norddeutscher Rundfunk (NDR)"", ""id"": 7201}]","[{""iso_3166_1"": ""AT"", ""name"": ""Austria""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""IT"", ""name"": ""Italy""}]",09/08/2004,92180910,156,Released,Downfall,7.7,1037
14000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}, {""id"": 12, ""name"": ""Adventure""}]",387,de,26.967494,"[{""name"": ""Radiant Film GmbH"", ""id"": 209}, {""name"": ""S\u00fcddeutscher Rundfunk"", ""id"": 210}, {""name"": ""Bavaria Film"", ""id"": 1704}, {""name"": ""Westdeutscher Rundfunk (WDR)"", ""id"": 7025}, {""name"": ""Twin Bros. Productions"", ""id"": 11344}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",9/16/1981,85000000,149,Released,Das Boot,7.9,613
7500000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",7735,de,25.281197,"[{""name"": ""Constantin Film Produktion"", ""id"": 5755}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",03/11/2008,19000000,107,Released,The Wave,7.5,841
0,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10749, ""name"": ""Romance""}]",2211,de,2.832628,[],"[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",02/10/1999,0,125,Released,Aimee & Jaguar,6.3,20
0,"[{""id"": 18, ""name"": ""Drama""}]",1591,de,3.481517,"[{""name"": ""MTM Cineteve"", ""id"": 740}, {""name"": ""Bavaria Film"", ""id"": 1704}, {""name"": ""Constantin Film Produktion"", ""id"": 5755}, {""name"": ""Media Cooperation One"", ""id"": 24212}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",12/11/2001,0,140,Released,Nowhere in Africa,7,32
4800000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",338,de,11.086001,"[{""name"": ""WDR"", ""id"": 46}, {""name"": ""Arte"", ""id"": 201}, {""name"": ""X-Filme Creative Pool"", ""id"": 1972}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",02/09/2003,79384880,121,Released,"Good bye, Lenin!",7.4,586
0,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",71547,de,0.219799,"[{""name"": ""Quality Films Entertainment"", ""id"": 5991}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",10/13/2004,0,95,Released,Fascination,3.8,4
5000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",31175,de,5.461487,"[{""name"": ""Coraz\u00f3n International"", ""id"": 200}, {""name"": ""Biograf Jan Sv\u011br\u00e1k"", ""id"": 6419}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",09/09/2009,17872796,99,Released,Soul Kitchen,7.1,116
0,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 878, ""name"": ""Science Fiction""}]",34069,de,10.142218,"[{""name"": ""Telepool"", ""id"": 823}, {""name"": ""Atlantis Pictures"", ""id"": 5564}, {""name"": ""Schweizerische Radio- und Fernsehgesellschaft (SRG)"", ""id"": 23072}, {""name"": ""Ascot Elite Entertainment Group"", ""id"": 26025}, {""name"": ""Egli Film"", ""id"": 26026}, {""name"": ""Teleclub AG"", ""id"": 26027}, {""name"": ""Centauri Media"", ""id"": 26029}]","[{""iso_3166_1"": ""CH"", ""name"": ""Switzerland""}]",9/24/2009,0,120,Released,Cargo,5.9,140
2700000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",342,de,3.120747,"[{""name"": ""Claussen + W\u00f6bke Filmproduktion GmbH"", ""id"": 161}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",09/02/2004,0,98,Released,Summer Storm,6.7,59
0,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",1698,de,5.025938,"[{""name"": ""Claussen + W\u00f6bke Filmproduktion GmbH"", ""id"": 161}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",02/03/2000,0,103,Released,Anatomy,6.1,61
2500000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 27, ""name"": ""Horror""}]",254472,de,4.270489,"[{""name"": ""Rat Pack Filmproduktion"", ""id"": 5754}, {""name"": ""XYZ Films"", ""id"": 12142}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",07/03/2015,0,87,Released,Stung,4.9,63
0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 37, ""name"": ""Western""}]",322443,de,0.803761,"[{""name"": ""ANA Media"", ""id"": 21817}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2/27/2015,0,81,Released,The Timber,4.1,15
2000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",582,de,34.938177,"[{""name"": ""Arte"", ""id"": 201}, {""name"": ""Wiedemann & Berg Filmproduktion"", ""id"": 336}, {""name"": ""Creado Film"", ""id"": 337}, {""name"": ""Bayerischer Rundfunk (BR)"", ""id"": 7333}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",3/15/2006,70000000,137,Released,The Lives of Others,7.9,958
0,"[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 36, ""name"": ""History""}]",12602,de,1.296784,"[{""name"": ""Constantin Film Produktion"", ""id"": 5755}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",10/05/1967,0,85,Released,The Torture Chamber of Dr. Sadism,6.3,12
1530000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",104,de,27.36562,"[{""name"": ""X-Filme Creative Pool"", ""id"": 1972}, {""name"": ""Westdeutscher Rundfunk (WDR)"", ""id"": 7025}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",8/20/1998,7267585,81,Released,Run Lola Run,7.2,664
1500000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",301325,de,2.815228,"[{""name"": ""AST Studios"", ""id"": 75277}, {""name"": ""Lowland Pictures"", ""id"": 75278}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",11/20/2015,0,90,Released,#Horror,3.3,52
1000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",96534,de,0.153625,[],"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",06/11/2011,0,90,Released,My Last Day Without You,5.7,3
913000,"[{""id"": 99, ""name"": ""Documentary""}]",292539,de,0.795698,[],[],4/26/2014,0,83,Released,Food Chains,7.4,8
0,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 10749, ""name"": ""Romance""}]",905,de,1.824184,"[{""name"": ""Nero Films"", ""id"": 4903}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",1/30/1929,0,109,Released,Pandora's Box,7.6,45
0,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",53256,de,5.937602,"[{""name"": ""X-Filme Creative Pool"", ""id"": 1972}, {""name"": ""ARTE"", ""id"": 5766}, {""name"": ""Westdeutscher Rundfunk (WDR)"", ""id"": 7025}, {""name"": ""ARD Degeto Film"", ""id"": 10947}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",12/23/2010,2611555,119,Released,Three,6.3,31
0,"[{""id"": 18, ""name"": ""Drama""}]",38810,el,28.858238,"[{""name"": ""Greek Film Center"", ""id"": 7254}, {""name"": ""Boo Productions"", ""id"": 15113}, {""name"": ""Horsefly Productions"", ""id"": 15115}]","[{""iso_3166_1"": ""GR"", ""name"": ""Greece""}]",06/01/2009,110197,94,Released,Dogtooth,6.9,332
